method,k,runs,mean_score,std_score,mean_cost_usd,total_cost_usd,mean_api_calls,mean_prompt_tokens,mean_completion_tokens
tot,5,50,8.056,0.1459,0.00676,0.337986,5.0,6499.6,9641.3
tot_astar,5,50,8.08,0.1807,0.0,0.0,0.0,0.0,0.0
